,Date,Time,Rain(mm)
367,2021-07-27,13:10:00,1.0
368,2021-07-27,13:20:00,1.0
369,2021-07-27,13:30:00,1.0
370,2021-07-27,13:40:00,1.0
371,2021-07-27,13:50:00,1.0
372,2021-07-27,14:00:00,1.0
373,2021-07-27,14:10:00,1.0
374,2021-07-27,14:20:00,1.0
375,2021-07-27,14:30:00,1.0
376,2021-07-27,14:40:00,1.0
377,2021-07-27,14:50:00,1.0
378,2021-07-27,15:00:00,1.0
379,2021-07-27,15:10:00,1.0
380,2021-07-27,15:20:00,1.0
381,2021-07-27,15:30:00,1.0
382,2021-07-27,15:40:00,1.0
383,2021-07-27,15:50:00,1.0
384,2021-07-27,16:00:00,1.0
385,2021-07-27,16:10:00,1.0
386,2021-07-27,16:20:00,1.0
387,2021-07-27,16:30:00,1.0
388,2021-07-27,16:40:00,1.0
389,2021-07-27,16:50:00,1.0
390,2021-07-27,17:00:00,1.0
391,2021-07-27,17:10:00,1.0
392,2021-07-27,17:20:00,1.0
393,2021-07-27,17:30:00,1.0
394,2021-07-27,17:40:00,1.0
395,2021-07-27,17:50:00,1.0
396,2021-07-27,18:00:00,1.0
397,2021-07-27,18:10:00,1.0
398,2021-07-27,18:20:00,1.0
399,2021-07-27,18:30:00,1.0
400,2021-07-27,18:40:00,1.0
401,2021-07-27,18:50:00,1.0
402,2021-07-27,19:00:00,1.0
403,2021-07-27,19:10:00,1.0
404,2021-07-27,19:20:00,1.0
405,2021-07-27,19:30:00,1.0
406,2021-07-27,19:40:00,1.0
407,2021-07-27,19:50:00,1.0
408,2021-07-27,20:00:00,1.0
409,2021-07-27,20:10:00,1.0
410,2021-07-27,20:20:00,1.0
411,2021-07-27,20:30:00,1.0
412,2021-07-27,20:40:00,1.0
413,2021-07-27,20:50:00,1.0
414,2021-07-27,21:00:00,1.0
415,2021-07-27,21:10:00,1.0
416,2021-07-27,21:20:00,1.0
417,2021-07-27,21:30:00,1.0
418,2021-07-27,21:40:00,1.0
419,2021-07-27,21:50:00,1.0
420,2021-07-27,22:00:00,1.0
421,2021-07-27,22:10:00,1.0
422,2021-07-27,22:20:00,1.0
423,2021-07-27,22:30:00,1.0
424,2021-07-27,22:40:00,1.0
425,2021-07-27,22:50:00,1.0
426,2021-07-27,23:00:00,1.0
427,2021-07-27,23:10:00,1.0
428,2021-07-27,23:20:00,1.0
429,2021-07-27,23:30:00,1.0
430,2021-07-27,23:40:00,1.0
431,2021-07-27,23:50:00,1.0
432,2021-07-28,00:00:00,1.0
433,2021-07-28,00:10:00,1.0
434,2021-07-28,00:20:00,1.0
435,2021-07-28,00:30:00,1.0
436,2021-07-28,00:40:00,1.0
437,2021-07-28,00:50:00,1.0
438,2021-07-28,01:00:00,1.0
439,2021-07-28,01:10:00,1.0
440,2021-07-28,01:20:00,1.0
441,2021-07-28,01:30:00,1.0
442,2021-07-28,01:40:00,1.0
443,2021-07-28,01:50:00,1.0
444,2021-07-28,02:00:00,1.0
445,2021-07-28,02:10:00,1.0
446,2021-07-28,02:20:00,1.0
447,2021-07-28,02:30:00,1.0
448,2021-07-28,02:40:00,1.0
449,2021-07-28,02:50:00,1.0
450,2021-07-28,03:00:00,1.0
451,2021-07-28,03:10:00,0.0
452,2021-07-28,03:20:00,0.0
453,2021-07-28,03:30:00,0.0
454,2021-07-28,03:40:00,0.0
455,2021-07-28,03:50:00,0.0
456,2021-07-28,04:00:00,0.0
457,2021-07-28,04:10:00,0.0
458,2021-07-28,04:20:00,0.0
459,2021-07-28,04:30:00,0.0
460,2021-07-28,04:40:00,0.0
461,2021-07-28,04:50:00,0.0
462,2021-07-28,05:00:00,0.0
463,2021-07-28,05:10:00,0.0
464,2021-07-28,05:20:00,0.0
465,2021-07-28,05:30:00,0.0
466,2021-07-28,05:40:00,0.0
467,2021-07-28,05:50:00,0.0
468,2021-07-28,06:00:00,0.0
469,2021-07-28,06:10:00,0.0
470,2021-07-28,06:20:00,0.0
471,2021-07-28,06:30:00,0.0
472,2021-07-28,06:40:00,0.0
473,2021-07-28,06:50:00,0.0
474,2021-07-28,07:00:00,0.0
475,2021-07-28,07:10:00,0.0
476,2021-07-28,07:20:00,0.0
477,2021-07-28,07:30:00,0.0
478,2021-07-28,07:40:00,0.0
479,2021-07-28,07:50:00,0.0
480,2021-07-28,08:00:00,0.0
481,2021-07-28,08:10:00,0.0
482,2021-07-28,08:20:00,0.0
483,2021-07-28,08:30:00,0.0
484,2021-07-28,08:40:00,0.0
485,2021-07-28,08:50:00,0.0
486,2021-07-28,09:00:00,0.0
487,2021-07-28,09:10:00,0.0
488,2021-07-28,09:20:00,0.0
489,2021-07-28,09:30:00,0.0
490,2021-07-28,09:40:00,0.0
491,2021-07-28,09:50:00,0.0
492,2021-07-28,10:00:00,0.0
493,2021-07-28,10:10:00,0.0
494,2021-07-28,10:20:00,0.0
495,2021-07-28,10:30:00,0.0
496,2021-07-28,10:40:00,0.0
497,2021-07-28,10:50:00,0.0
498,2021-07-28,11:00:00,0.0
499,2021-07-28,11:10:00,0.0
500,2021-07-28,11:20:00,0.0
501,2021-07-28,11:30:00,0.0
502,2021-07-28,11:40:00,0.0
503,2021-07-28,11:50:00,0.0
504,2021-07-28,12:00:00,0.0
505,2021-07-28,12:10:00,0.0
506,2021-07-28,12:20:00,0.0
507,2021-07-28,12:30:00,0.0
508,2021-07-28,12:40:00,0.0
509,2021-07-28,12:50:00,0.0
510,2021-07-28,13:00:00,0.0
