,base_of_brightest_echo,height_of_brightest_echo,brightest_ref,average_echo,average_echo_depth,mean_velocity,mean_Turbulence,lowest_elevation_ref,datetime
77,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 15:50:00
78,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 16:00:00
79,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 16:10:00
80,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 16:20:00
81,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 16:30:00
82,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 16:40:00
83,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 16:50:00
84,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 17:00:00
85,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 17:10:00
86,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 17:20:00
87,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 17:30:00
88,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 17:40:00
89,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 17:50:00
90,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 18:00:00
91,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 18:10:00
92,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 18:20:00
93,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 18:30:00
94,0.2981673329325177,0.2981673329325177,7.5,7.5,0.0,0.0,1.0,-32.0,2021-08-04 18:40:00
95,-1.0,-1.0,,,0.0,0.3174173039843896,1.0,-32.0,2021-08-04 18:50:00
96,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 19:00:00
97,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 19:10:00
98,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 19:20:00
99,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 19:30:00
100,-1.0,-1.0,,,0.0,0.0,1.0,-32.0,2021-08-04 19:40:00
101,-1.0,-1.0,,,0.0,0.07303658377768632,1.0,-32.0,2021-08-04 19:50:00
102,0.2981673329325177,0.2981673329325177,4.0,4.0,0.0,0.08295885590818451,1.0,4.0,2021-08-04 20:00:00
103,-1.0,-1.0,,,0.0,0.12787381893175023,1.1863425493691508,-32.0,2021-08-04 20:10:00
104,0.2981673329325177,0.2981673329325177,4.0,4.0,0.0,0.07205402947084498,1.0,4.0,2021-08-04 20:20:00
105,0.2981673329325177,0.3578007030467127,13.0,12.114126071303586,0.059633370114195006,0.0909818710426864,1.0,13.0,2021-08-04 20:30:00
